Country,male_suicide_avg,female_suicide_avg,both_suicide_avg,Temperature,Overall rank,Happiness Index
South Korea,37.92333333333333,15.346666666666666,26.679999999999996,12.22,52,6.058
Spain,11.613333333333332,3.89,7.66,13.07,36,6.421
Sri Lanka,24.209999999999997,6.47,15.043333333333331,27.25,128,3.898
Sweden,18.163333333333338,8.46,13.333333333333334,3.23,4,7.344
Switzerland,18.22,7.0,12.566666666666668,6.47,9,7.06
Tajikistan,5.1866666666666665,2.14,3.693333333333334,3.85,88,5.281
Tanzania,8.12,2.3966666666666665,5.203333333333333,22.92,131,3.781
Thailand,18.36,3.926666666666667,10.916666666666666,26.85,58,5.976
Togo,12.876666666666663,3.6566666666666663,8.19,27.33,124,4.214
Tunisia,4.5,1.7899999999999998,3.14,20.53,115,4.422
Turkey,5.1899999999999995,1.51,3.3533333333333335,11.66,98,4.975
Uganda,9.083333333333334,1.9066666666666665,5.44,23.25,117,4.372
Ukraine,40.52,7.083333333333333,22.55666666666667,9.27,105,4.873
United Arab Emirates,4.6499999999999995,1.9266666666666667,3.82,28.17,22,6.733
United Kingdom,12.623333333333337,3.926666666666667,8.219999999999999,9.24,20,6.749
United States,24.486666666666665,6.963333333333334,15.576666666666668,9.46,23,6.725
Uruguay,35.086666666666666,7.73,20.853333333333335,17.97,26,6.611
Uzbekistan,11.996666666666664,5.433333333333334,8.693333333333333,13.06,47,6.195
Venezuela,10.593333333333334,1.8333333333333337,6.090000000000001,25.71,79,5.607
Vietnam,10.783333333333331,4.946666666666666,7.843333333333334,24.79,54,6.043
Yemen,5.413333333333334,3.1799999999999997,4.306666666666667,25.54,133,3.561
Zambia,13.016666666666666,2.9033333333333338,7.913333333333333,22.23,134,3.502
Zimbabwe,24.356666666666666,9.123333333333331,16.423333333333336,21.90,138,3.341
